ERR2604094	ERR2604094__k119_113653	class	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria
ERR2604094	ERR2604094__k119_178589	class	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria
ERR2604094	ERR2604094__k119_19485	no rank	-_cellular organisms
ERR2604094	ERR2604094__k119_192110	superkingdom	-_cellular organisms;d_Bacteria
ERR2604094	ERR2604094__k119_121784	family	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae
ERR2604094	ERR2604094__k119_193350	superkingdom	-_cellular organisms;d_Bacteria
ERR2604093	ERR2604093__k119_19106	superkingdom	-_cellular organisms;d_Archaea
ERR2604093	ERR2604093__k119_103706	superkingdom	-_cellular organisms;d_Bacteria
ERR2604093	ERR2604093__k119_19276	genus	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Flavobacterium
ERR2604093	ERR2604093__k119_55493	superkingdom	-_cellular organisms;d_Bacteria
ERR2604093	ERR2604093__k119_139758	class	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria
ERR2604093	ERR2604093__k119_164365	phylum	-_cellular organisms;d_Bacteria;p_Pseudomonadota
ERR2604093	ERR2604093__k119_67873	order	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales
ERR2604093	ERR2604093__k119_31801	no rank	-_cellular organisms
ERR2604093	ERR2604093__k119_19867	strain	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales;f_Mycoplasmataceae;g_Ureaplasma;s_Ureaplasma parvum;-_Ureaplasma parvum serovar 3;-_Ureaplasma parvum serovar 3 str. ATCC 700970
ERR2604106	ERR2604106__k119_337868	class	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria
ERR2604084	ERR2604084__k119_135154	superkingdom	-_cellular organisms;d_Bacteria
ERR2604085	ERR2604085__k119_215710	no rank	-_cellular organisms
ERR2604085	ERR2604085__k119_236531	superkingdom	-_cellular organisms;d_Bacteria
ERR2604085	ERR2604085__k119_89747	class	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria
ERR2604085	ERR2604085__k119_149787	superkingdom	-_cellular organisms;d_Bacteria
ERR2604085	ERR2604085__k119_260796	species	-_cellular organisms;d_Bacteria;-_environmental samples;s_uncultured marine bacterium 66A03
ERR2604085	ERR2604085__k119_142867	species	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Methylococcales;f_Methylococcaceae;g_Methylomonas;-_unclassified Methylomonas;s_Methylomonas sp.
ERR2604085	ERR2604085__k119_142956	superkingdom	-_cellular organisms;d_Eukaryota
